NUMBER	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS	CERTAINTY	GLOSS_IN_SOURCE	DEFINITION	ALIAS	DOMAIN
3965	to separate	1359	SEPARATE	100	to separate			Physical effect
3966	to set	160	SET (HEAVENLY BODIES)	12	to set	to fix or decide on as a time, limit, or regulation (Merriam-Webster)		N/a
3967	to set (of Moon, Sun)	160	SET (HEAVENLY BODIES)	12	to set (of Moon, Sun)	None		Motion
3968	to set a trap				to set a trap			N/a
3969	to set bounds				to set bounds			N/a
3970	to set cupping glass				to set cupping glass	to put cuppong glass on somebody&#39;s back		N/a
3971	to set free			100	to set free			Physical effect
3972	to set upright				to set upright			Physical effect
3973	to sew	1457	SEW	100	to sew			Physical effect
3974	to shake	1909	SHAKE	100	to shake			Physical effect
3975	to shake off				to shake off			N/a
3976	to share	884	SHARE	100	to share			N/a
3977	to sharpen	251	SHARPEN (SOMETHING)	20	to sharpen			N/a
3978	to shave	231	SHAVE	100	to shave			Physical effect
3979	to shear	1532	SHEAR	100	to shear			Physical effect
3980	to shed hair or feathers	1201	FEATHER	15	to shed hair or feathers	to moult, to shed or lose a covering of hair or fur, feathers, skin, horns, etc, and replace it with a fresh one		Physical processes
3981	to shed leaves			100	to shed leaves			Physiologic processes and states
3982	to shine			100	to shine			Physical processes
3983	to shine, glitter			100	to shine, glitter			Light and Colour
3984	to shirk				to shirk	to avoid, especially a duty, responsibility		N/a
3985	to shock (of electric current)			100	to shock (of electric current)			N/a
3986	to shoe (horses)	1381	SHOE	11	to shoe (horses)	to put horseshoes on a horse		N/a
3987	to shoot	1172	SHOOT	100	to shoot			Physical effect
3988	to shout	715	SHOUT	100	to shout			Physical processes
3989	to show, indicate	1039	SHOW	16	to show, indicate			Interpersonal relations
3990	to shrink	54	SHRINK	100	to shrink			Physical processes
3991	to shrink (of textile)			100	to shrink (of textile)			Physical processes
3992	to shut one's eyes				to shut one&#39;s eyes			N/a
3993	to shut, close	1046	SHUT	16	to shut, close	None		Physical effect
3994	to sin			100	to sin			Interpersonal relations
3995	to sing	1261	SING	100	to sing			Sound
3996	to sink (tr.)	1088	SINK (DESCEND)	100	to sink (tr.)			Physical effect
3997	to sink into			100	to sink into			Motion
3998	to sit	1416	SIT	100	to sit			Location
3999	to sit down	1649	SIT DOWN	100	to sit down			Motion
4000	to ski	2991	SKI	11	to ski	to move on skis		N/a
4001	to skin, flay	291	PULL OFF (SKIN)	16	to skin, flay	to remove the skin and/or fur of an animal		N/a
4002	to skip over, overlook			100	to skip over, overlook			Mental acts and states
4003	to slake (hunger, thirst)			100	to slake (hunger, thirst)			Physiologic processes and states
4004	to slander	3641	SLANDER	100	to slander			Interpersonal relations
4005	to slap one's thighs				to slap one&#39;s thighs			N/a
4006	to slaughter (cattle)	1796	SLAUGHTER	100	to slaughter (cattle)			Physical effect
4007	to sleep	1585	SLEEP	100	to sleep			Physiologic processes and states
4008	to sleep one's fill				to sleep one&#39;s fill			N/a
4009	to slide			100	to slide			N/a
4010	to slide, slip	1324	SLIP	15	to slide, slip	to move smoothly, as on ice		N/a
4011	to slim	1400	THIN (SLIM)	11	to slim	to lose weight in order to achieve slimness.		N/a
4012	to slip	1324	SLIP	20	to slip			N/a
4013	to slow, linger			100	to slow, linger			Motion
4014	to smear, anoint	364	SMEAR	100	to smear, anoint			Physical effect
4015	to smell bad	42	STINKING	11	to smell bad	to stink		Physical processes
4016	to smile	1451	SMILE	100	to smile			Interpersonal relations
4017	to smoke (meat or fish)	1689	SMOKE (INHALE)	12	to smoke (meat or fish)	to preserve or prepare food for consumption by treating with smoke		N/a
4018	to smoke (tobacco)	1689	SMOKE (INHALE)	12	to smoke (tobacco)	None		Physical effect
4019	to smooth			100	to smooth			Physical effect
4020	to snitch				to snitch			N/a
4021	to snore	1983	SNORE	20	to snore			N/a
4022	to snuff a candle				to snuff a candle	to remove burnt remains of a candle wick		Interpersonal relations
4023	to soar			100	to soar			Motion
4024	to soften (an object)				to soften (an object)			N/a
4025	to soil, make dirty	1015	SOIL	100	to soil, make dirty			Physical effect
4026	to solve (a problem)			100	to solve (a problem)			Mental acts and states
4027	to sound			100	to sound			Physical processes
4028	to sow	748	SOW SEEDS	100	to sow			Physical effect
4029	to spare, to economize			100	to spare, to economize			N/a
4030	to spawn	2227	SPAWN (VERB)	100	to spawn			Physical processes
4031	to speak	1623	SPEAK	100	to speak			Speech
4032	to spell			100	to spell			N/a
4033	to spend (money)				to spend (money)			N/a
4034	to spit	1440	SPIT	100	to spit			Physiologic processes and states
4035	to spoil (intr.)	569	SPOIL (BECOME SPOILED)	100	to spoil (intr.)			Physical processes
4036	to spoil (tr.)	92	SPOIL (SOMEBODY OR SOMETHING)	12	to spoil (tr.)			N/a
4037	to spread (intr.)	38	SPREAD OUT	100	to spread (intr.)			Motion
4038	to spread one's arms				to spread one&#39;s arms			N/a
4039	to spring, jump	1829	JUMP	100	to spring, jump			Motion
4040	to sprinkle			100	to sprinkle			Motion
4041	to spur a horse				to spur a horse	to prod a horse on the side or flank, with the intent to urge motion or haste		N/a
4042	to spy			100	to spy			N/a
4043	to squeak	3692	SQUEAK	100	to squeak			Physical processes
4044	to squeeze	1414	SQUEEZE	20	to squeeze	to apply pressure from two or more sides at once		N/a
4045	to stab	1434	STAB	20	to stab	to pierce or to wound (somebody) with a pointed tool or weapon, especially a knife or dagger		N/a
4046	to stab with a spear				to stab with a spear			N/a
4047	to stammer, stutter	1866	STUTTER	15	to stammer, stutter	to keep repeating a particular sound involuntarily during speech		N/a
4048	to stamp one's foot				to stamp one&#39;s foot			N/a
4049	to stand	1442	STAND	100	to stand			Location
4050	to stand in front				to stand in front			N/a
4051	to stand motionless				to stand motionless			N/a
4052	to stand near				to stand near			N/a
4053	to stand still				to stand still			N/a
4054	to stand up	570	STAND UP	100	to stand up			Motion
4055	to stare				to stare			N/a
4056	to start moving				to start moving			N/a
4057	to stay awake				to stay awake			N/a
4058	to steal	713	STEAL	100	to steal			Physical effect
4059	to steer a vessel				to steer a vessel	to guide the course of a vessel (by means of a device such as a rudder, paddle, or steering wheel)		N/a
4060	to step on			100	to step on			Physical effect
4061	to stick, adhere	254	STICKING	16	to stick, adhere	None		Physical effect
4062	to sting	571	STING	100	to sting			Physical effect
4063	to stop (intr.)	2880	HALT (STOP)	12	to stop (intr.)			Phasal
4064	to stop (tr.)	2880	HALT (STOP)	100	to stop (tr.)			Physical effect
4065	to stop doing smth.				to stop doing smth.			Phasal
4066	to stop feeling pain				to stop feeling pain			N/a
4067	to stop moving				to stop moving			N/a
4068	to straighten				to straighten	to cause to become straight		N/a
4069	to strain	940	STRAIN	100	to strain			Physical effect
4070	to strengthen				to strengthen	to make harder, stronger		N/a
4071	to strew	572	STREW	100	to strew			Physical effect
4072	to strike, hit	353	STRIKE	16	to strike, hit	None		Physical effect
4073	to struggle			100	to struggle			N/a
4074	to stumble	3617	STUMBLE	20	to stumble			N/a
4075	to stumble on				to stumble on			N/a
4076	to stun, to knock out				to stun, to knock out			N/a
4077	to subjugate	1516	SUBJUGATE	100	to subjugate			Interpersonal relations
4078	to subside (medicine)				to subside (medicine)	decrease in intensity (of symptoms); to pass (of illness)		N/a
4079	to subtract				to subtract			N/a
4080	to succeed	1112	SUCCEED	100	to succeed			Interpersonal relations
4081	to suck	1421	SUCK	100	to suck			Physical effect
4082	to suffer	1101	SUFFER	100	to suffer			Physical processes
4083	to suffer from hunger				to suffer from hunger			N/a
4084	to suffer from rheumatism				to suffer from rheumatism	to fetter from reumatism		N/a
4085	to suffice, be enough	1881	ENOUGH	11	to suffice, be enough	to occur in a satisfactory quantity or to a satisfactory degree		Abstract relations
4086	to suit (of clothes)	764	SUIT	100	to suit (of clothes)			Abstract relations
4087	to suppress				to suppress			N/a
4088	to surpass	402	SURPASS	20	to surpass	to be better than something or someone else		N/a
4089	to surpass, exceed	402	SURPASS	100	to surpass, exceed			Size
4090	to surprise	3848	SURPRISE (FEELING)	11	to surprise			N/a
4091	to swagger				to swagger	to behave in a pompous, superior manner		N/a
4092	to swallow	897	SWALLOW	100	to swallow			Physiologic processes and states
4093	to swarm (bees)	2974	SWARM (OF BIRDS)	11	to swarm (bees)			N/a
4094	to sway	573	SWAY	100	to sway			Motion
4095	to swear (an oath)	1939	SWEAR	12	to swear (an oath)			Speech
4096	to swear, curse	1939	SWEAR	16	to swear, curse			N/a
4097	to sweat	126	SWEAT (PERSPIRE)	100	to sweat			Physiologic processes and states
4098	to sweep	230	SWEEP	100	to sweep			Physical effect
4099	to swell up	1573	SWELL	100	to swell up			Physical processes
4100	to swim	1439	SWIM	100	to swim			Motion
4101	to swingle, scutch, felt	325	FELT	15	to swingle, scutch, felt	to separate the woody fibre from (flax, hemp, etc.) by beating; to make into felt, or a feltlike substance, to cause to adhere and mat together		N/a
4102	to switch off				to switch off	to power down, to turn off, to put out of operation, to deactivate (an appliance, light, mechanism, functionality etc.).		N/a
4103	to switch on			100	to switch on			Physical effect
4104	to sympathize	3903	SYMPATHIZE	100	to sympathize			Emotions
4105	to systematize				to systematize	to arrange into a systematic order; to make systematic; to organise as a system		N/a
4106	to take	1749	TAKE	100	to take			Physical effect
4107	to take a husband				to take a husband	to marry (about woman)		N/a
4108	to take away, carry away				to take away, carry away			N/a
4109	to take down				to take down	to remove something from a wall or similar vertical surface to which it is fixed		N/a
4110	to take into account			100	to take into account			Mental acts and states
4111	to take off (tr.)	1755	UNDRESS	12	to take off (tr.)	None		N/a
4112	to take one thing for another				to take one thing for another			N/a
4113	to take out	3654	TAKE OUT	100	to take out			Physical effect
4114	to take possession				to take possession			N/a
4115	to take prisoner			100	to take prisoner			Physical effect
4116	to talk in a complicated way				to talk in a complicated way			N/a
4117	to talk nonsense				to talk nonsense			N/a
4118	to tame	3901	TAMING	100	to tame			Interpersonal relations
4119	to tame (animal)	2838	TAME	11	to tame (animal)	to make an animal tame		N/a
4120	to tan (hides)	247	TAN	100	to tan (hides)			Physical effect
4121	to taste (tr.)	21	TASTE (SOMETHING)	12	to taste (tr.)	to sample the flavor of something orally		Perception
4122	to teach	709	TEACH	100	to teach			Interpersonal relations
4123	to teach	709	TEACH	100	to teach			Interpersonal relations
4124	to tear apart				to tear apart	to tear into pieces		N/a
4125	to tear off, peel off	275	PEEL	100	to tear off, peel off			Physical effect
4126	to tear, rend	1735	TEAR (SHRED)	100	to tear, rend			Physical effect
4127	to tell	1711	TELL	100	to tell			Speech
4128	to tell a person's fortune	226	TELL FORTUNES	100	to tell a person&#39;s fortune			Interpersonal relations
4129	to tell lie	601	LIE (MISLEAD)	100	to tell lie			Interpersonal relations
4130	to temper (iron)			100	to temper (iron)			Physical effect
4131	to think	2271	THINK	100	to think			Mental acts and states
4132	to threaten	1192	THREATEN	20	to threaten			N/a
4133	to thresh (grain)	285	THRESH	100	to thresh (grain)			Physical effect
4134	to throw	1456	THROW	100	to throw			Physical effect
4135	to throw a lasso				to throw a lasso			N/a
4136	to throw on the ground				to throw on the ground			N/a
4137	to thrust (into)	246	THRUST	100	to thrust (into)			Physical effect
4138	to thunder	2378	THUNDER (VERB)	100	to thunder			Sound
4139	to tickle	3647	TICKLE (SOMEBODY)	100	to tickle			Physical effect
4140	to tie	1917	TIE	100	to tie	to twist (a string, rope, or the like) around itself securely		Physical effect
4141	to tin			100	to tin	to coat with tin		Physical effect
4142	to torture	1952	TORTURE	100	to torture			Physical effect
4143	to torture	1952	TORTURE	100	to torture			Physical effect
4144	to toss				to toss	to throw with an initial upward direction		N/a
4145	to touch	1892	TOUCH	100	to touch			Physical effect
4146	to trade	898	TRADE	20	to trade	None		Interpersonal relations
4147	to trade	898	TRADE	20	to trade	to be a merchant, to be engaged in trading		N/a
4148	to transit	574	TRANSIT	100	to transit			Motion
4149	to translate	2906	TRANSLATE	100	to translate			Speech
4150	to travel	3665	TRAVEL	20	to travel			N/a
4151	to tread	575	TREAD	100	to tread			Physical effect
4152	to treat, regale			100	to treat, regale			Interpersonal relations
4153	to tremble	52	SHIVER	100	to tremble			Physical processes
4154	to trust	3902	TRUST (SOMEBODY)	100	to trust			N/a
4155	to trust / to believe in	3902	TRUST (SOMEBODY)	16	to trust / to believe in	...		N/a
4156	to try, to attempt	1812	TRY	100	to try, to attempt			Modal
4157	to turn (of age)	1588	TURN	12	to turn (of age)			N/a
4158	to turn back to look at smth.			100	to turn back to look at smth.			Motion
4159	to turn into (tr.)				to turn into (tr.)			N/a
4160	to turn into an animal				to turn into an animal			N/a
4161	to turn over	3537	TURN OVER	100	to turn over			Physical effect
4162	to turn round	1444	TURN AROUND	100	to turn round			Motion
4163	to turn sour	2229	BECOME SOUR	100	to turn sour			Physical processes
4164	to turn upside down, roll over				to turn upside down, roll over			N/a
4165	to turn, rotate (intr.)			100	to turn, rotate (intr.)			Motion
4166	to turn, rotate (tr.)	1445	TURN (SOMETHING)	100	to turn, rotate (tr.)			Physical effect
4167	to twinkle, glimmer	2889	TWINKLE	16	to twinkle, glimmer	(of a source of light) to shine with a flickering light		N/a
4168	to twist (a rope)	430	TWIST	12	to twist (a rope)			N/a
4169	to understand	1536	UNDERSTAND	100	to understand			Mental acts and states
4170	to undress (intr.)	1755	UNDRESS	12	to undress (intr.)	to remove one’s clothing		Physical effect
4171	to undress (tr.)	1755	UNDRESS	12	to undress (tr.)	to remove the clothing of someone		N/a
4172	to unfold, unwind				to unfold, unwind	None		N/a
4173	to unite	1743	JOIN	12	to unite	to bring together		Non-physical
4174	to unload, download				to unload, download			N/a
4175	to unravel			100	to unravel			N/a
4176	to untie, unbind	352	UNTIE	100	to untie, unbind			Physical effect
4177	to untwist, unscrew (intr.)				to untwist, unscrew (intr.)			N/a
4178	to uproot				to uproot	to tear up (a plant, tree etc.) by the roots		N/a
4179	to urinate	592	PISS	20	to urinate	to pass urine from the body		N/a
4180	to use	2072	USE (VERB)	20	to use			N/a
4181	to vaccinate 				to vaccinate			N/a
4182	to vex, exasperate			100	to vex, exasperate			Emotions
4183	to visit	1377	VISIT	100	to visit			Interpersonal relations
4184	to vomit	1278	VOMIT	100	to vomit			Physical processes
4185	to wait	1590	WAIT (FOR)	100	to wait			Interpersonal relations
4186	to wake up (intr.)	1602	WAKE UP	100	to wake up (intr.)			Physical processes
4187	to walk, to go	1443	WALK	100	to walk, to go			Motion
4188	to walk, wander	3666	WANDER	100	to walk, wander			Motion
4189	to wander off				to wander off	to wander off in different directions (of many people)		N/a
4190	to wane (of the Moon)				to wane (of the Moon)	said of the Moon as it passes through the phases of its monthly cycle where its surface is less and less visible		N/a
4191	to want	1784	WANT	100	to want			Volition
4192	to warm up	2032	WARM UP	100	to warm up			N/a
4193	to wash	1453	WASH	100	to wash			Physical effect
4194	to wash (clothes)	2503	LAUNDER (WASH CLOTHES)	100	to wash (clothes)			Physical effect
4195	to waste	79	WASTE	100	to waste			Interpersonal relations
4196	to watch, look after			100	to watch, look after			Interpersonal relations
4197	to water (plants)	3078	IRRIGATE	100	to water (plants)			Physical effect
4198	to water, to give water			100	to water, to give water			Physical effect
4199	to wave (of water)			100	to wave (of water)			Physical processes
4200	to weaken (about wind)				to weaken (about wind)			N/a
4201	to weaken (intr.)			100	to weaken (intr.)			Physical processes
4202	to weaken, loosen			100	to weaken, loosen			Physical effect
4203	to wear (clothes)	976	WEAR	20	to wear (clothes)			N/a
4204	to weave	133	WEAVE	20	to weave			N/a
4205	to weed	3548	PULL UP WEEDS	12	to weed	to remove unwanted vegetation from a cultivated area		N/a
4206	to weigh (intr.)			100	to weigh (intr.)			Abstract relations
4207	to weigh (tr.)	1098	WEIGH	12	to weigh (tr.)			N/a
4208	to weld				to weld	to unite (metallic parts) by heating and allowing the metals to flow together or by hammering or compressing with or without previous heating (Merriam-Webster)		N/a
4209	to wet, moisten	28	MOISTEN	100	to wet, moisten			Physical effect
4210	to whet	251	SHARPEN (SOMETHING)	100	to whet			Physical effect
4211	to whine				to whine			N/a
4212	to whip	2630	WHIP	11	to whip			N/a
4213	to whisper	55	WHISPER	100	to whisper			N/a
4214	to whistle	1025	WHISTLE	20	to whistle	to make a shrill, high-pitched sound by forcing air through the mouth		Artifacts
4215	to winnow	2462	WINNOWING	100	to winnow			Physical effect
4216	to wipe	1454	WIPE	20	to wipe			N/a
4217	to wither	2907	ROT	12	to wither	to shrivel, droop or dry up, especially from lack of water		N/a
4218	to work	1086	WORK (ACTIVITY)	100	to work			Physical effect
4219	to work carelessly				to work carelessly			N/a
4220	to worry, be agitated	150	WORRY	100	to worry, be agitated			Perception
4221	to worship	257	WORSHIP	20	to worship			N/a
4222	to wound (tr.)			100	to wound (tr.)			Physical effect
4223	to wrestle				to wrestle			N/a
4224	to wring a cloth				to wring a cloth	to squeeze or twist a cloth tightly after washing so water is forced out		N/a
4225	to write	1672	WRITE	100	to write			Physical effect
4226	to yawn	1028	YAWN	20	to yawn	to open the mouth wide and take a deep breath usually as an involuntary reaction to fatigue or boredom		N/a
4227	to yield (of land)				to yield (of land)			N/a
4228	toad	894	TOAD	100	toad			Animals
4229	tobacco	974	TOBACCO	19	tobacco			N/a
4230	tobacco pipe	1124	PIPE	19	tobacco pipe	small, hand-held device consisting in its simplest form of a bowl and stem; used for inhaling the smoke of burning tobacco		N/a
4231	today	1283	TODAY	100	today			Abstract entities
4232	together	2482	TOGETHER	100	together			N/a
4233	toilet	219	TOILET	100	toilet			Artifacts
4234	tomato (Solanum lycopersicum)	986	TOMATO	11	tomato (Solanum lycopersicum)			N/a
4235	tomb	1773	GRAVE	100	tomb			Artifacts
4236	tomorrow	1329	TOMORROW	100	tomorrow			Time
4237	tone	2995	TONE (MUSIC)	19	tone	character of a sound, especially the timbre of an instrument or voice		Body parts
4238	tongue (body part)	1205	TONGUE	100	tongue (body part)			Body parts
4239	tonsil			100	tonsil			Body parts
4240	tonsure (of monk)			100	tonsure (of monk)			N/a
4241	too much				too much			N/a
4242	tooth	1380	TOOTH	100	tooth			Body parts
4243	toothless			100	toothless			N/a
4244	top of the head				top of the head			N/a
4245	top, upper part	1753	TOP	15	top, upper part	None		Space
4246	top/crown (of a tree)	3036	TREETOP	100	top/crown (of a tree)			Natural objects
4247	torch	1919	TORCH	19	torch	stick with a flame on one end, used chiefly as a light source; a similarly shaped implement with a replaceable supply of flammable material.		N/a
4248	torch fishing				torch fishing			N/a
4249	torn				torn			N/a
4250	torpid person				torpid person	physically inactive, sluggish, listless		N/a
4251	torso	2667	TORSO	19	torso			Body parts
4252	tortoise, turtle	112	TURTLE	100	tortoise, turtle			Animals
4253	totally, absolutely			100	totally, absolutely			Abstract relations
4254	touched				touched			N/a
4255	tower	1671	TOWER	100	tower			Artifacts
4256	town	1391	TOWN	100	town			Artifacts
4257	toy	2403	TOY	100	toy			N/a
4258	trace				trace			N/a
4259	track idler wheel				track idler wheel			N/a
4260	trader				trader	one who earns a living by trading		N/a
4261	traffic jam				traffic jam			N/a
4262	trailer (vehicle)				trailer (vehicle)	unpowered wheeled vehicle, that is towed behind another		N/a
4263	trait				trait	"aspect of personality,	personal characteristics, a feature of a character"		N/a
4264	traitor				traitor	one who violates allegiance and betrays one&#39;s country		N/a
4265	transparent	3754	TRANSPARENT	100	transparent			Light and Colour
4266	transport station			100	transport station			Artifacts
4267	transversal, crosscut			100	transversal, crosscut			N/a
4268	trap, snare (n.)	3320	SNARE (TRAP)	100	trap, snare (n.)			Artifacts
4269	tray	2629	TRAY	19	tray	mall, typically rectangular or round, flat, and rigid object upon which things are carried		N/a
4270	tree	906	TREE	100	tree			Natural objects
4271	trench				trench	long, narrow ditch or hole		Interpersonal relations
4272	triangle				triangle			N/a
4273	tribe	1549	TRIBE	100	tribe			Abstract entities
4274	tribunal			100	tribunal			N/a
4275	trick, deceit	13	DECEIT	15	trick, deceit	a concealed difficulty or complication		N/a
4276	trick, hocus-pocus			100	trick, hocus-pocus			Abstract entities
4277	trigger (of a gun)				trigger (of a gun)	finger-operated lever used to fire a gun		N/a
4278	Triglidae (fish)				Triglidae (fish)			N/a
4279	Trimorphodon biscutatus				Trimorphodon biscutatus			N/a
4280	troop (of animals)			100	troop (of animals)			Animals
4281	troop (of fishes)				troop (of fishes)			N/a
4282	trough	205	TROUGH	100	trough			N/a
4283	trouser-leg			100	trouser-leg			Artifacts
4284	truck, lorry				truck, lorry			N/a
4285	true sedge (Carex)				true sedge (Carex)	plant Carex sp.		N/a
4286	truffle			100	truffle			N/a
4287	trump (in cards)			100	trump (in cards)			Artifacts
4288	trumpet	775	TRUMPET	19	trumpet			N/a
4289	trunk (of a tree)	344	TREE TRUNK	100	trunk (of a tree)	usually single, more or less upright part of a tree, between the roots and the branches		Natural objects
4290	trunk, proboscis (of elephant)	3678	ELEPHANT TRUNK	100	trunk, proboscis (of elephant)	conspicuously extended, mobile, nose-like organ of an animal such as a sengi, a tapir or especially an elephant		Animals
4291	trust, confidence	3902	TRUST (SOMEBODY)	15	trust, confidence			N/a
4292	truth	1638	TRUTH	100	truth			Abstract entities
4293	tube, pipe	1124	PIPE	15	tube, pipe			N/a
4294	tuber			100	tuber			N/a
4295	tuberculosis				tuberculosis	infectious disease of humans and animals caused by a species of mycobacterium, usually Mycobacterium tuberculosis, mainly infecting the lungs where it causes tubercles characterized by the expectoration of mucus and sputum, fever, weight loss, and chest pain, and transmitted through inhalation or ingestion of bacteria		N/a
4296	Tuesday	1695	TUESDAY	100	Tuesday	day of the week; it follows Monday and precedes Wednesday		Time
4297	tufted vetch				tufted vetch	plant Vicia cracca		N/a
4298	tumult, turmoil			100	tumult, turmoil			Abstract entities
4299	tundra 				tundra	flat and treeless Arctic biome		N/a
4300	tuning peg				tuning peg	peg or screw used to tighten or loosen strings on a musical instrument in order to produce concordant sounds		Physical effect
4301	turbid	537	TURBID	100	turbid			Light and Colour
4302	Turk				Turk	person from Turkey or of Turkish ethnic descent		Human being
4303	turkey	2386	TURKEY	19	turkey			N/a
4304	turmeric (Curcuma)	2842	TURMERIC	100	turmeric (Curcuma)	Indian plant, Curcuma longa, with aromatic rhizomes, part of the ginger family		N/a
4305	turnip	3062	TURNIP	19	turnip	white root of a yellow-flowered plant, Brassica rapa var. rapa, grown as a vegetable and as fodder for cattle		Plants
4306	turnstone (Arenaria)				turnstone (Arenaria)	either of two species of coastal wading bird, Arenaria interpres and Arenaria melanocephala, that breed in the Arctic and readily turn stones or seaweed looking for hidden invertebrates		Animals
4307	tusk (of animal)	3280	TUSK	11	tusk (of animal)			N/a
4308	twelve	1707	TWELVE	19	twelve	cardinal number occurring after eleven and before thirteen, represented in Arabic numerals as 12 and in Roman numerals as XII		N/a
4309	twin	1005	TWINS	100	twin	either of two people who shared the same uterus at the same time; one who was born at the same birth as a sibling		Human being
4310	two	1498	TWO	100	two	cardinal number 2		Abstract entities
4311	tympanum (of ear)				tympanum (of ear)			N/a
4312	tyre (of a car)			100	tyre (of a car)			N/a
4313	udder	154	UDDER	100	udder	organ formed of the mammary glands of female quadruped mammals, particularly ruminants such as cattle, goats, sheep and deer		Body parts
4314	ugly, unpleasant			100	ugly, unpleasant	displeasing to the eye; not aesthetically pleasing		Evaluation
4315	umbel				umbel	flat-topped or rounded flower-cluster (= inflorescence) in which the individual flower stalks arise from the same point, the youngest flowers being at the centre		N/a
4316	umbrella	3105	UMBRELLA	100	umbrella	cloth-covered frame used for protection against rain or sun		Artifacts
4317	unbroken horse				unbroken horse	not tamed horse		N/a
4318	uncle	1327	UNCLE	100	uncle			Human being
4319	uncle (father's brother)	1985	PATERNAL UNCLE (FATHER'S BROTHER)	100	uncle (father&#39;s brother)			N/a
4320	uncle (father's sister's husband)	1327	UNCLE	11	uncle (father&#39;s sister&#39;s husband)			N/a
4321	uncle (mother's brother)	2692	MATERNAL UNCLE (MOTHER'S BROTHER)	100	uncle (mother&#39;s brother)			N/a
4322	uncle (mother's sister's husband)	1327	UNCLE	11	uncle (mother&#39;s sister&#39;s husband)			N/a
4323	uncultivated, unprocessed				uncultivated, unprocessed			N/a
4324	under age			100	under age			Time
4325	under, below 	1485	BELOW OR UNDER	15	under, below			N/a
4326	undercooked				undercooked	insufficiently cooked, so as to be unpalatable or inedible		N/a
4327	underground, subterranean			100	underground, subterranean			Other physical
4328	underwear				underwear	clothes worn next to the skin, underneath outer clothing		Artifacts
4329	undiluted			100	undiluted			N/a
4330	unexpected			100	unexpected			Non-physical
4331	unfair				unfair	not fair, unjust		N/a
4332	unfaithful, adulterous				unfaithful, adulterous			N/a
4333	unforested, treeless place				unforested, treeless place	open place, without a forest		N/a
4334	unfunny			100	unfunny			Non-physical
4335	unimportant, slight				unimportant, slight	None		Evaluation
4336	uninhabited (place)				uninhabited (place)	None		Natural objects
4337	union				union	state of being united or joined		Body parts
4338	unique				unique	being the only one of its kind; unequaled, unparalleled or unmatched		N/a
4339	unit of area				unit of area			N/a
4340	unit of length				unit of length			Space
4341	unit of speed				unit of speed			N/a
4342	unknown				unknown			N/a
4343	unleavened (bread)				unleavened (bread)	without any yeast or other raising agent		N/a
4344	unlucky				unlucky	unfortunate, marked by misfortune		N/a
4345	unmarried			100	unmarried	having no husband or wife		Non-physical
4346	unpleasant	26	UNPLEASANT	100	unpleasant			Evaluation
4347	unpleasant place				unpleasant place			N/a
4348	unprofitable				unprofitable	not making a profit		N/a
4349	unreliable				unreliable			N/a
4350	unripe (fruit)	1958	UNRIPE	100	unripe (fruit)			Non-physical
4351	unskillful				unskillful	not skillful		N/a
4352	unusual				unusual	out of the ordinary		N/a
4353	upper arm	431	UPPER ARM	19	upper arm	section of an arm from the elbow to the shoulder		N/a
4354	upper part (of a leg)				upper part (of a leg)			N/a
4355	upper reach (of river)				upper reach (of river)	part of the river close to its source; the area adjacent to it.		N/a
4356	upriver			100	upriver	towards the source of a river, against the current.		N/a
4357	upside down				upside down			N/a
4358	urban			100	urban	related to the (or any) city		Non-physical
4359	urgent			100	urgent	requiring immediate attention		Evaluation
4360	urinary bladder				urinary bladder	elastic, muscular sac situated in the pelvic cavity, into which urine from the kidneys is temporarily stored prior to disposal by urination		N/a
4361	urine	1142	URINE	100	urine	liquid waste consisting of water, salts and urea, which is made in the kidneys, stored in the bladder, then released through the urethra		Natural objects
4362	useless thing			100	useless thing			Artifacts
4363	usual			100	usual			N/a
4364	uterus				uterus			N/a
4365	uvula	2293	UVULA	19	uvula	the fleshy appendage that hangs from the back of the soft palate, that closes the nasopharynx during swallowing		N/a
4366	vessel			100	&lt;vessel&gt;			Artifacts
4367	vacancy			100	vacancy			Abstract entities
4368	vacation				vacation			N/a
4369	vagina	1836	VAGINA	100	vagina	the passage leading from the opening of the vulva to the cervix of the uterus for copulation and childbirth in female mammals		Body parts
4370	vain, in vain	1765	IN VAIN	15	vain, in vain	None		Non-physical
4371	valerian				valerian	plant Valeriana officinalis		N/a
4372	valid			100	valid			Non-physical
4373	varicose veins				varicose veins	None		N/a
4374	vegetable marrow			100	vegetable marrow	kind of vegetable like a large zucchini or squash		Plants
4375	vegetable oil	2555	OIL (FROM PLANTS)	19	vegetable oil			N/a
4376	vegetation	653	PLANT (VEGETATION)	19	vegetation			Natural objects
4377	vehicle	2549	VEHICLE	100	vehicle	device for carrying or transporting substances, objects or individuals		Artifacts
4378	veil, head-covering	1151	VEIL	15	veil, head-covering			N/a
4379	venereal disease				venereal disease	any of several contagious diseases, such as syphilis and gonorrhea, contracted through sexual intercourse		N/a
4380	venous (blood)				venous (blood)	blood returning to the heart from the organs and tissues of the body through the veins. With the exception of blood in the pulmonary veins, venous blood is deprived of oxygen and enriched with carbon dioxide as a result of tissue gas exchange		Other physical
4381	Venus			100	Venus	second planet in our solar system, named for the goddess; represented by ♀		Natural objects
4382	verb			100	verb			Abstract entities
4383	verse				verse			N/a
4384	vertebra				vertebra			Body parts
